codigo,producto,remuneracion_asalariados,impuestos_produccion_importaciones,subvenciones_produccion,excedente_explotacion_bruto,ingreso_mixto_bruto,valor_agregado_bruto_oficial,suma_componentes,residuo_componentes_vab
P001,Maíz,598.068757427937,16.9193575823768,0,154.477265132175,2470.72872720616,3240.19410734865,3240.19410734865,0
P002,Frijoles,333.292697186898,5.77381723896863,0,36.2069553856703,691.321234705974,1066.59470451751,1066.59470451751,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,93.752043827795,1.6241194943972,0,10.1846698017654,194.462042649843,300.022875773801,300.022875773801,0
P004,Arroz,12.4962976472302,0.267625360009447,0,8.24335420149701,29.86196194392,50.8692391526567,50.8692391526567,0
P005,Otros cereales,11.663446573215,0.330656046510431,0,3.01679203095892,48.360135806991,63.3710304576753,63.3710304576753,0
P006,Hortalizas,1927.66633493869,26.2007123221076,0,585.382282183621,1270.03065939545,3809.27998883986,3809.27998883986,4.54747350886464e-13
P007,Sandías y melones,444.734130710469,5.8981774406128,0,135.119168236485,267.880343190785,853.631819578351,853.631819578351,0
P008,Ejotes y arvejas,300.198346927754,3.98130702208516,0,91.2062918985927,180.820923439911,576.206869288342,576.206869288342,0
P009,Raíces y tubérculos,533.24408610311,7.07201903746201,0,162.010271768827,321.193267900442,1023.51964480984,1023.51964480984,0
P010,Caña de azúcar y otras plantas azucareras,1009.39112309256,15.5347953354321,0,901.835016625094,11.3225462486744,1938.08348130176,1938.08348130176,0
P011,Tabaco y otras plantas no perennes,272.330459923206,8.48105014545627,0,455.523437840887,85.4430866386312,821.77803454818,821.77803454818,0
P012,"Bananos, plátanos y otros",2206.77352935524,31.8127108718151,0,814.830628504813,288.065597714221,3341.48246644609,3341.48246644608,4.54747350886464e-13
P013,Frutas tropicales y subtropicales,667.768804700676,8.99440871116783,0,387.827657404934,251.618002122041,1316.20887293882,1316.20887293882,0
P014,"Berries, otras frutas y semillas de frutas",593.68987811647,8.93672113991231,0,222.540012608663,364.996754960055,1190.1633668251,1190.1633668251,0
P015,Palma africana,840.127472176409,12.0069444220452,0,550.292172365619,35.4755209036971,1437.90210986777,1437.90210986777,0
P016,Café en grano,524.510801570242,18.3275344078149,0,2035.64517493785,836.29308987657,3414.77660079248,3414.77660079248,0
P017,Cardamomo,89.280202509418,5.47644264985723,0,632.461640358713,314.470152767933,1041.68843828592,1041.68843828592,-2.27373675443232e-13
P018,Caucho natural,348.914706647862,13.614382403367,0,564.71613393369,127.17489337787,1054.42011636279,1054.42011636279,0
P019,Propagación de plantas,31.7313748963108,0.795385548266528,0,31.4414846471335,115.90404402001,179.872289111721,179.872289111721,0
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",24.3371968332328,0.893894204972314,0,7.1411500960299,112.548108633537,144.920349767772,144.920349767772,0
P021,Ganado bovino,1015.284403282,14.2721102543952,0,760.436215475283,1109.36917958414,2899.36190859582,2899.36190859582,0
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,173.224723667967,3.14113692702268,0,217.954716445618,111.366598963866,505.687176004473,505.687176004473,5.6843418860808e-14
P023,Aves de corral,98.7356321620489,12.1332687276555,0,1597.79742973482,470.650742679517,2179.31707330404,2179.31707330404,0
P024,Leche cruda,138.725849782352,1.9501044405175,0,113.31516131125,151.581351651487,405.572467185606,405.572467185606,5.6843418860808e-14
P025,Huevos,81.4020124940004,10.0032021969603,0,1342.17960447013,388.025242731312,1821.6100618924,1821.6100618924,0
P026,Otros productos de animales vivos,32.4881653184493,0.294733722635645,0,12.6174291496494,24.7201074376695,70.1204356284038,70.1204356284038,0
P027,Troncos de madera y leña,958.322775550577,33.6482053916664,-189.93472801,603.647094269479,2431.5280045095,3837.21135171122,3837.21135171122,0
P028,Productos forestales no madereros,31.8763221060212,1.14712029109686,0,11.423743962871,116.235903209343,160.683089569332,160.683089569332,0
P029,"Peces vivos, frescos o refrigerados",50.7036325325879,3.84072386774967,0,25.8234350128179,420.784662789067,501.152454202223,501.152454202223,0
P030,Crustáceos sin congelar y otros productos de la pesca,105.260268468077,3.41863838380357,0,101.908571973708,174.488738323677,385.076217149265,385.076217149265,0
P031,Petróleo crudo y gas natural,133.490611634515,7.15656006905095,0,1332.94988556408,0,1473.59705726765,1473.59705726765,2.27373675443232e-13
P032,Minerales metálicos,408.203771323017,17.2687915445769,0,2020.46937659935,0,2445.94193946694,2445.94193946694,0
P033,Minerales no metálicos,448.143195037335,10.8870218660235,0,137.713266660329,534.485784940221,1131.22926850391,1131.22926850391,0
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,99.7204718548044,7.86059806754366,0,53.1712520021269,1297.57738157732,1458.3297035018,1458.3297035018,0
P035,Carne y despojos comestibles de ganado porcino,145.141260789866,1.47329882028865,0,14.3066750537894,144.33148792786,305.252722591804,305.252722591804,0
